Base,Diacríticos,Forma descompuesta,Forma precompuesta,Unicode precompuesta
α,U+0313,ἀ,ἀ,U+1F00
α,U+0314,ἁ,ἁ,U+1F01
α,U+0301,ά,ά,U+03AC
α,U+0342,ᾶ,ᾶ,U+1FB6
α,U+0300,ὰ,ὰ,U+1F70
α,U+0345,ᾳ,ᾳ,U+1FB3
α,U+0313U+0313,ἀ̓,ἀ̓,U+1F00 U+0313
α,U+0313U+0314,ἀ̔,ἀ̔,U+1F00 U+0314
α,U+0313U+0301,ἄ,ἄ,U+1F04
α,U+0313U+0342,ἆ,ἆ,U+1F06
α,U+0313U+0300,ἂ,ἂ,U+1F02
α,U+0313U+0345,ᾀ,ᾀ,U+1F80
α,U+0314U+0314,ἁ̔,ἁ̔,U+1F01 U+0314
α,U+0314U+0301,ἅ,ἅ,U+1F05
α,U+0314U+0342,ἇ,ἇ,U+1F07
α,U+0314U+0300,ἃ,ἃ,U+1F03
α,U+0314U+0345,ᾁ,ᾁ,U+1F81
α,U+0301U+0301,ά́,ά́,U+03AC U+0301
α,U+0301U+0342,ά͂,ά͂,U+03AC U+0342
α,U+0301U+0300,ά̀,ά̀,U+03AC U+0300
α,U+0301U+0345,ᾴ,ᾴ,U+1FB4
α,U+0342U+0342,ᾶ͂,ᾶ͂,U+1FB6 U+0342
α,U+0342U+0300,ᾶ̀,ᾶ̀,U+1FB6 U+0300
α,U+0342U+0345,ᾷ,ᾷ,U+1FB7
α,U+0300U+0300,ὰ̀,ὰ̀,U+1F70 U+0300
α,U+0300U+0345,ᾲ,ᾲ,U+1FB2
α,U+0345U+0345,ᾳͅ,ᾳͅ,U+1FB3 U+0345
α,U+0313U+0313U+0313,ἀ̓̓,ἀ̓̓,U+1F00 U+0313 U+0313
α,U+0313U+0313U+0314,ἀ̓̔,ἀ̓̔,U+1F00 U+0313 U+0314
α,U+0313U+0313U+0301,ἀ̓́,ἀ̓́,U+1F00 U+0313 U+0301
α,U+0313U+0313U+0342,ἀ̓͂,ἀ̓͂,U+1F00 U+0313 U+0342
α,U+0313U+0313U+0300,ἀ̓̀,ἀ̓̀,U+1F00 U+0313 U+0300
α,U+0313U+0313U+0345,ᾀ̓,ᾀ̓,U+1F80 U+0313
α,U+0313U+0314U+0314,ἀ̔̔,ἀ̔̔,U+1F00 U+0314 U+0314
α,U+0313U+0314U+0301,ἀ̔́,ἀ̔́,U+1F00 U+0314 U+0301
α,U+0313U+0314U+0342,ἀ̔͂,ἀ̔͂,U+1F00 U+0314 U+0342
α,U+0313U+0314U+0300,ἀ̔̀,ἀ̔̀,U+1F00 U+0314 U+0300
α,U+0313U+0314U+0345,ᾀ̔,ᾀ̔,U+1F80 U+0314
α,U+0313U+0301U+0301,ἄ́,ἄ́,U+1F04 U+0301
α,U+0313U+0301U+0342,ἄ͂,ἄ͂,U+1F04 U+0342
α,U+0313U+0301U+0300,ἄ̀,ἄ̀,U+1F04 U+0300
α,U+0313U+0301U+0345,ᾄ,ᾄ,U+1F84
α,U+0313U+0342U+0342,ἆ͂,ἆ͂,U+1F06 U+0342
α,U+0313U+0342U+0300,ἆ̀,ἆ̀,U+1F06 U+0300
α,U+0313U+0342U+0345,ᾆ,ᾆ,U+1F86
α,U+0313U+0300U+0300,ἂ̀,ἂ̀,U+1F02 U+0300
α,U+0313U+0300U+0345,ᾂ,ᾂ,U+1F82
α,U+0313U+0345U+0345,ᾀͅ,ᾀͅ,U+1F80 U+0345
α,U+0314U+0314U+0314,ἁ̔̔,ἁ̔̔,U+1F01 U+0314 U+0314
α,U+0314U+0314U+0301,ἁ̔́,ἁ̔́,U+1F01 U+0314 U+0301
α,U+0314U+0314U+0342,ἁ̔͂,ἁ̔͂,U+1F01 U+0314 U+0342
α,U+0314U+0314U+0300,ἁ̔̀,ἁ̔̀,U+1F01 U+0314 U+0300
α,U+0314U+0314U+0345,ᾁ̔,ᾁ̔,U+1F81 U+0314
α,U+0314U+0301U+0301,ἅ́,ἅ́,U+1F05 U+0301
α,U+0314U+0301U+0342,ἅ͂,ἅ͂,U+1F05 U+0342
α,U+0314U+0301U+0300,ἅ̀,ἅ̀,U+1F05 U+0300
α,U+0314U+0301U+0345,ᾅ,ᾅ,U+1F85
α,U+0314U+0342U+0342,ἇ͂,ἇ͂,U+1F07 U+0342
α,U+0314U+0342U+0300,ἇ̀,ἇ̀,U+1F07 U+0300
α,U+0314U+0342U+0345,ᾇ,ᾇ,U+1F87
α,U+0314U+0300U+0300,ἃ̀,ἃ̀,U+1F03 U+0300
α,U+0314U+0300U+0345,ᾃ,ᾃ,U+1F83
α,U+0314U+0345U+0345,ᾁͅ,ᾁͅ,U+1F81 U+0345
α,U+0301U+0301U+0301,ά́́,ά́́,U+03AC U+0301 U+0301
α,U+0301U+0301U+0342,ά́͂,ά́͂,U+03AC U+0301 U+0342
α,U+0301U+0301U+0300,ά́̀,ά́̀,U+03AC U+0301 U+0300
α,U+0301U+0301U+0345,ᾴ́,ᾴ́,U+1FB4 U+0301
α,U+0301U+0342U+0342,ά͂͂,ά͂͂,U+03AC U+0342 U+0342
α,U+0301U+0342U+0300,ά͂̀,ά͂̀,U+03AC U+0342 U+0300
α,U+0301U+0342U+0345,ᾴ͂,ᾴ͂,U+1FB4 U+0342
α,U+0301U+0300U+0300,ά̀̀,ά̀̀,U+03AC U+0300 U+0300
α,U+0301U+0300U+0345,ᾴ̀,ᾴ̀,U+1FB4 U+0300
α,U+0301U+0345U+0345,ᾴͅ,ᾴͅ,U+1FB4 U+0345
α,U+0342U+0342U+0342,ᾶ͂͂,ᾶ͂͂,U+1FB6 U+0342 U+0342
α,U+0342U+0342U+0300,ᾶ͂̀,ᾶ͂̀,U+1FB6 U+0342 U+0300
α,U+0342U+0342U+0345,ᾷ͂,ᾷ͂,U+1FB7 U+0342
α,U+0342U+0300U+0300,ᾶ̀̀,ᾶ̀̀,U+1FB6 U+0300 U+0300
α,U+0342U+0300U+0345,ᾷ̀,ᾷ̀,U+1FB7 U+0300
α,U+0342U+0345U+0345,ᾷͅ,ᾷͅ,U+1FB7 U+0345
α,U+0300U+0300U+0300,ὰ̀̀,ὰ̀̀,U+1F70 U+0300 U+0300
α,U+0300U+0300U+0345,ᾲ̀,ᾲ̀,U+1FB2 U+0300
α,U+0300U+0345U+0345,ᾲͅ,ᾲͅ,U+1FB2 U+0345
α,U+0345U+0345U+0345,ᾳͅͅ,ᾳͅͅ,U+1FB3 U+0345 U+0345
ε,U+0313,ἐ,ἐ,U+1F10
ε,U+0314,ἑ,ἑ,U+1F11
ε,U+0301,έ,έ,U+03AD
ε,U+0342,ε͂,ε͂,U+03B5 U+0342
ε,U+0300,ὲ,ὲ,U+1F72
ε,U+0345,εͅ,εͅ,U+03B5 U+0345
ε,U+0313U+0313,ἐ̓,ἐ̓,U+1F10 U+0313
ε,U+0313U+0314,ἐ̔,ἐ̔,U+1F10 U+0314
ε,U+0313U+0301,ἔ,ἔ,U+1F14
ε,U+0313U+0342,ἐ͂,ἐ͂,U+1F10 U+0342
ε,U+0313U+0300,ἒ,ἒ,U+1F12
ε,U+0313U+0345,ἐͅ,ἐͅ,U+1F10 U+0345
ε,U+0314U+0314,ἑ̔,ἑ̔,U+1F11 U+0314
ε,U+0314U+0301,ἕ,ἕ,U+1F15
ε,U+0314U+0342,ἑ͂,ἑ͂,U+1F11 U+0342
ε,U+0314U+0300,ἓ,ἓ,U+1F13
ε,U+0314U+0345,ἑͅ,ἑͅ,U+1F11 U+0345
ε,U+0301U+0301,έ́,έ́,U+03AD U+0301
ε,U+0301U+0342,έ͂,έ͂,U+03AD U+0342
ε,U+0301U+0300,έ̀,έ̀,U+03AD U+0300
ε,U+0301U+0345,έͅ,έͅ,U+03AD U+0345
ε,U+0342U+0342,ε͂͂,ε͂͂,U+03B5 U+0342 U+0342
ε,U+0342U+0300,ε͂̀,ε͂̀,U+03B5 U+0342 U+0300
ε,U+0342U+0345,ε͂ͅ,ε͂ͅ,U+03B5 U+0342 U+0345
ε,U+0300U+0300,ὲ̀,ὲ̀,U+1F72 U+0300
ε,U+0300U+0345,ὲͅ,ὲͅ,U+1F72 U+0345
ε,U+0345U+0345,εͅͅ,εͅͅ,U+03B5 U+0345 U+0345
ε,U+0313U+0313U+0313,ἐ̓̓,ἐ̓̓,U+1F10 U+0313 U+0313
ε,U+0313U+0313U+0314,ἐ̓̔,ἐ̓̔,U+1F10 U+0313 U+0314
ε,U+0313U+0313U+0301,ἐ̓́,ἐ̓́,U+1F10 U+0313 U+0301
ε,U+0313U+0313U+0342,ἐ̓͂,ἐ̓͂,U+1F10 U+0313 U+0342
ε,U+0313U+0313U+0300,ἐ̓̀,ἐ̓̀,U+1F10 U+0313 U+0300
ε,U+0313U+0313U+0345,ἐ̓ͅ,ἐ̓ͅ,U+1F10 U+0313 U+0345
ε,U+0313U+0314U+0314,ἐ̔̔,ἐ̔̔,U+1F10 U+0314 U+0314
ε,U+0313U+0314U+0301,ἐ̔́,ἐ̔́,U+1F10 U+0314 U+0301
ε,U+0313U+0314U+0342,ἐ̔͂,ἐ̔͂,U+1F10 U+0314 U+0342
ε,U+0313U+0314U+0300,ἐ̔̀,ἐ̔̀,U+1F10 U+0314 U+0300
ε,U+0313U+0314U+0345,ἐ̔ͅ,ἐ̔ͅ,U+1F10 U+0314 U+0345
ε,U+0313U+0301U+0301,ἔ́,ἔ́,U+1F14 U+0301
ε,U+0313U+0301U+0342,ἔ͂,ἔ͂,U+1F14 U+0342
ε,U+0313U+0301U+0300,ἔ̀,ἔ̀,U+1F14 U+0300
ε,U+0313U+0301U+0345,ἔͅ,ἔͅ,U+1F14 U+0345
ε,U+0313U+0342U+0342,ἐ͂͂,ἐ͂͂,U+1F10 U+0342 U+0342
ε,U+0313U+0342U+0300,ἐ͂̀,ἐ͂̀,U+1F10 U+0342 U+0300
ε,U+0313U+0342U+0345,ἐ͂ͅ,ἐ͂ͅ,U+1F10 U+0342 U+0345
ε,U+0313U+0300U+0300,ἒ̀,ἒ̀,U+1F12 U+0300
ε,U+0313U+0300U+0345,ἒͅ,ἒͅ,U+1F12 U+0345
ε,U+0313U+0345U+0345,ἐͅͅ,ἐͅͅ,U+1F10 U+0345 U+0345
ε,U+0314U+0314U+0314,ἑ̔̔,ἑ̔̔,U+1F11 U+0314 U+0314
ε,U+0314U+0314U+0301,ἑ̔́,ἑ̔́,U+1F11 U+0314 U+0301
ε,U+0314U+0314U+0342,ἑ̔͂,ἑ̔͂,U+1F11 U+0314 U+0342
ε,U+0314U+0314U+0300,ἑ̔̀,ἑ̔̀,U+1F11 U+0314 U+0300
ε,U+0314U+0314U+0345,ἑ̔ͅ,ἑ̔ͅ,U+1F11 U+0314 U+0345
ε,U+0314U+0301U+0301,ἕ́,ἕ́,U+1F15 U+0301
ε,U+0314U+0301U+0342,ἕ͂,ἕ͂,U+1F15 U+0342
ε,U+0314U+0301U+0300,ἕ̀,ἕ̀,U+1F15 U+0300
ε,U+0314U+0301U+0345,ἕͅ,ἕͅ,U+1F15 U+0345
ε,U+0314U+0342U+0342,ἑ͂͂,ἑ͂͂,U+1F11 U+0342 U+0342
ε,U+0314U+0342U+0300,ἑ͂̀,ἑ͂̀,U+1F11 U+0342 U+0300
ε,U+0314U+0342U+0345,ἑ͂ͅ,ἑ͂ͅ,U+1F11 U+0342 U+0345
ε,U+0314U+0300U+0300,ἓ̀,ἓ̀,U+1F13 U+0300
ε,U+0314U+0300U+0345,ἓͅ,ἓͅ,U+1F13 U+0345
ε,U+0314U+0345U+0345,ἑͅͅ,ἑͅͅ,U+1F11 U+0345 U+0345
ε,U+0301U+0301U+0301,έ́́,έ́́,U+03AD U+0301 U+0301
ε,U+0301U+0301U+0342,έ́͂,έ́͂,U+03AD U+0301 U+0342
ε,U+0301U+0301U+0300,έ́̀,έ́̀,U+03AD U+0301 U+0300
ε,U+0301U+0301U+0345,έ́ͅ,έ́ͅ,U+03AD U+0301 U+0345
ε,U+0301U+0342U+0342,έ͂͂,έ͂͂,U+03AD U+0342 U+0342
ε,U+0301U+0342U+0300,έ͂̀,έ͂̀,U+03AD U+0342 U+0300
ε,U+0301U+0342U+0345,έ͂ͅ,έ͂ͅ,U+03AD U+0342 U+0345
ε,U+0301U+0300U+0300,έ̀̀,έ̀̀,U+03AD U+0300 U+0300
ε,U+0301U+0300U+0345,έ̀ͅ,έ̀ͅ,U+03AD U+0300 U+0345
ε,U+0301U+0345U+0345,έͅͅ,έͅͅ,U+03AD U+0345 U+0345
ε,U+0342U+0342U+0342,ε͂͂͂,ε͂͂͂,U+03B5 U+0342 U+0342 U+0342
ε,U+0342U+0342U+0300,ε͂͂̀,ε͂͂̀,U+03B5 U+0342 U+0342 U+0300
ε,U+0342U+0342U+0345,ε͂͂ͅ,ε͂͂ͅ,U+03B5 U+0342 U+0342 U+0345
ε,U+0342U+0300U+0300,ε͂̀̀,ε͂̀̀,U+03B5 U+0342 U+0300 U+0300
ε,U+0342U+0300U+0345,ε͂̀ͅ,ε͂̀ͅ,U+03B5 U+0342 U+0300 U+0345
ε,U+0342U+0345U+0345,ε͂ͅͅ,ε͂ͅͅ,U+03B5 U+0342 U+0345 U+0345
ε,U+0300U+0300U+0300,ὲ̀̀,ὲ̀̀,U+1F72 U+0300 U+0300
ε,U+0300U+0300U+0345,ὲ̀ͅ,ὲ̀ͅ,U+1F72 U+0300 U+0345
ε,U+0300U+0345U+0345,ὲͅͅ,ὲͅͅ,U+1F72 U+0345 U+0345
ε,U+0345U+0345U+0345,εͅͅͅ,εͅͅͅ,U+03B5 U+0345 U+0345 U+0345
η,U+0313,ἠ,ἠ,U+1F20
η,U+0314,ἡ,ἡ,U+1F21
η,U+0301,ή,ή,U+03AE
η,U+0342,ῆ,ῆ,U+1FC6
η,U+0300,ὴ,ὴ,U+1F74
η,U+0345,ῃ,ῃ,U+1FC3
η,U+0313U+0313,ἠ̓,ἠ̓,U+1F20 U+0313
η,U+0313U+0314,ἠ̔,ἠ̔,U+1F20 U+0314
η,U+0313U+0301,ἤ,ἤ,U+1F24
η,U+0313U+0342,ἦ,ἦ,U+1F26
η,U+0313U+0300,ἢ,ἢ,U+1F22
η,U+0313U+0345,ᾐ,ᾐ,U+1F90
η,U+0314U+0314,ἡ̔,ἡ̔,U+1F21 U+0314
η,U+0314U+0301,ἥ,ἥ,U+1F25
η,U+0314U+0342,ἧ,ἧ,U+1F27
η,U+0314U+0300,ἣ,ἣ,U+1F23
η,U+0314U+0345,ᾑ,ᾑ,U+1F91
η,U+0301U+0301,ή́,ή́,U+03AE U+0301
η,U+0301U+0342,ή͂,ή͂,U+03AE U+0342
η,U+0301U+0300,ή̀,ή̀,U+03AE U+0300
η,U+0301U+0345,ῄ,ῄ,U+1FC4
η,U+0342U+0342,ῆ͂,ῆ͂,U+1FC6 U+0342
η,U+0342U+0300,ῆ̀,ῆ̀,U+1FC6 U+0300
η,U+0342U+0345,ῇ,ῇ,U+1FC7
η,U+0300U+0300,ὴ̀,ὴ̀,U+1F74 U+0300
η,U+0300U+0345,ῂ,ῂ,U+1FC2
η,U+0345U+0345,ῃͅ,ῃͅ,U+1FC3 U+0345
η,U+0313U+0313U+0313,ἠ̓̓,ἠ̓̓,U+1F20 U+0313 U+0313
η,U+0313U+0313U+0314,ἠ̓̔,ἠ̓̔,U+1F20 U+0313 U+0314
η,U+0313U+0313U+0301,ἠ̓́,ἠ̓́,U+1F20 U+0313 U+0301
η,U+0313U+0313U+0342,ἠ̓͂,ἠ̓͂,U+1F20 U+0313 U+0342
η,U+0313U+0313U+0300,ἠ̓̀,ἠ̓̀,U+1F20 U+0313 U+0300
η,U+0313U+0313U+0345,ᾐ̓,ᾐ̓,U+1F90 U+0313
η,U+0313U+0314U+0314,ἠ̔̔,ἠ̔̔,U+1F20 U+0314 U+0314
η,U+0313U+0314U+0301,ἠ̔́,ἠ̔́,U+1F20 U+0314 U+0301
η,U+0313U+0314U+0342,ἠ̔͂,ἠ̔͂,U+1F20 U+0314 U+0342
η,U+0313U+0314U+0300,ἠ̔̀,ἠ̔̀,U+1F20 U+0314 U+0300
η,U+0313U+0314U+0345,ᾐ̔,ᾐ̔,U+1F90 U+0314
η,U+0313U+0301U+0301,ἤ́,ἤ́,U+1F24 U+0301
η,U+0313U+0301U+0342,ἤ͂,ἤ͂,U+1F24 U+0342
η,U+0313U+0301U+0300,ἤ̀,ἤ̀,U+1F24 U+0300
η,U+0313U+0301U+0345,ᾔ,ᾔ,U+1F94
η,U+0313U+0342U+0342,ἦ͂,ἦ͂,U+1F26 U+0342
η,U+0313U+0342U+0300,ἦ̀,ἦ̀,U+1F26 U+0300
η,U+0313U+0342U+0345,ᾖ,ᾖ,U+1F96
η,U+0313U+0300U+0300,ἢ̀,ἢ̀,U+1F22 U+0300
η,U+0313U+0300U+0345,ᾒ,ᾒ,U+1F92
η,U+0313U+0345U+0345,ᾐͅ,ᾐͅ,U+1F90 U+0345
η,U+0314U+0314U+0314,ἡ̔̔,ἡ̔̔,U+1F21 U+0314 U+0314
η,U+0314U+0314U+0301,ἡ̔́,ἡ̔́,U+1F21 U+0314 U+0301
η,U+0314U+0314U+0342,ἡ̔͂,ἡ̔͂,U+1F21 U+0314 U+0342
η,U+0314U+0314U+0300,ἡ̔̀,ἡ̔̀,U+1F21 U+0314 U+0300
η,U+0314U+0314U+0345,ᾑ̔,ᾑ̔,U+1F91 U+0314
η,U+0314U+0301U+0301,ἥ́,ἥ́,U+1F25 U+0301
η,U+0314U+0301U+0342,ἥ͂,ἥ͂,U+1F25 U+0342
η,U+0314U+0301U+0300,ἥ̀,ἥ̀,U+1F25 U+0300
η,U+0314U+0301U+0345,ᾕ,ᾕ,U+1F95
η,U+0314U+0342U+0342,ἧ͂,ἧ͂,U+1F27 U+0342
η,U+0314U+0342U+0300,ἧ̀,ἧ̀,U+1F27 U+0300
η,U+0314U+0342U+0345,ᾗ,ᾗ,U+1F97
η,U+0314U+0300U+0300,ἣ̀,ἣ̀,U+1F23 U+0300
η,U+0314U+0300U+0345,ᾓ,ᾓ,U+1F93
η,U+0314U+0345U+0345,ᾑͅ,ᾑͅ,U+1F91 U+0345
η,U+0301U+0301U+0301,ή́́,ή́́,U+03AE U+0301 U+0301
η,U+0301U+0301U+0342,ή́͂,ή́͂,U+03AE U+0301 U+0342
η,U+0301U+0301U+0300,ή́̀,ή́̀,U+03AE U+0301 U+0300
η,U+0301U+0301U+0345,ῄ́,ῄ́,U+1FC4 U+0301
η,U+0301U+0342U+0342,ή͂͂,ή͂͂,U+03AE U+0342 U+0342
η,U+0301U+0342U+0300,ή͂̀,ή͂̀,U+03AE U+0342 U+0300
η,U+0301U+0342U+0345,ῄ͂,ῄ͂,U+1FC4 U+0342
η,U+0301U+0300U+0300,ή̀̀,ή̀̀,U+03AE U+0300 U+0300
η,U+0301U+0300U+0345,ῄ̀,ῄ̀,U+1FC4 U+0300
η,U+0301U+0345U+0345,ῄͅ,ῄͅ,U+1FC4 U+0345
η,U+0342U+0342U+0342,ῆ͂͂,ῆ͂͂,U+1FC6 U+0342 U+0342
η,U+0342U+0342U+0300,ῆ͂̀,ῆ͂̀,U+1FC6 U+0342 U+0300
η,U+0342U+0342U+0345,ῇ͂,ῇ͂,U+1FC7 U+0342
η,U+0342U+0300U+0300,ῆ̀̀,ῆ̀̀,U+1FC6 U+0300 U+0300
η,U+0342U+0300U+0345,ῇ̀,ῇ̀,U+1FC7 U+0300
η,U+0342U+0345U+0345,ῇͅ,ῇͅ,U+1FC7 U+0345
η,U+0300U+0300U+0300,ὴ̀̀,ὴ̀̀,U+1F74 U+0300 U+0300
η,U+0300U+0300U+0345,ῂ̀,ῂ̀,U+1FC2 U+0300
η,U+0300U+0345U+0345,ῂͅ,ῂͅ,U+1FC2 U+0345
η,U+0345U+0345U+0345,ῃͅͅ,ῃͅͅ,U+1FC3 U+0345 U+0345
ι,U+0313,ἰ,ἰ,U+1F30
ι,U+0314,ἱ,ἱ,U+1F31
ι,U+0301,ί,ί,U+03AF
ι,U+0342,ῖ,ῖ,U+1FD6
ι,U+0300,ὶ,ὶ,U+1F76
ι,U+0345,ιͅ,ιͅ,U+03B9 U+0345
ι,U+0313U+0313,ἰ̓,ἰ̓,U+1F30 U+0313
ι,U+0313U+0314,ἰ̔,ἰ̔,U+1F30 U+0314
ι,U+0313U+0301,ἴ,ἴ,U+1F34
ι,U+0313U+0342,ἶ,ἶ,U+1F36
ι,U+0313U+0300,ἲ,ἲ,U+1F32
ι,U+0313U+0345,ἰͅ,ἰͅ,U+1F30 U+0345
ι,U+0314U+0314,ἱ̔,ἱ̔,U+1F31 U+0314
ι,U+0314U+0301,ἵ,ἵ,U+1F35
ι,U+0314U+0342,ἷ,ἷ,U+1F37
ι,U+0314U+0300,ἳ,ἳ,U+1F33
ι,U+0314U+0345,ἱͅ,ἱͅ,U+1F31 U+0345
ι,U+0301U+0301,ί́,ί́,U+03AF U+0301
ι,U+0301U+0342,ί͂,ί͂,U+03AF U+0342
ι,U+0301U+0300,ί̀,ί̀,U+03AF U+0300
ι,U+0301U+0345,ίͅ,ίͅ,U+03AF U+0345
ι,U+0342U+0342,ῖ͂,ῖ͂,U+1FD6 U+0342
ι,U+0342U+0300,ῖ̀,ῖ̀,U+1FD6 U+0300
ι,U+0342U+0345,ῖͅ,ῖͅ,U+1FD6 U+0345
ι,U+0300U+0300,ὶ̀,ὶ̀,U+1F76 U+0300
ι,U+0300U+0345,ὶͅ,ὶͅ,U+1F76 U+0345
ι,U+0345U+0345,ιͅͅ,ιͅͅ,U+03B9 U+0345 U+0345
ι,U+0313U+0313U+0313,ἰ̓̓,ἰ̓̓,U+1F30 U+0313 U+0313
ι,U+0313U+0313U+0314,ἰ̓̔,ἰ̓̔,U+1F30 U+0313 U+0314
ι,U+0313U+0313U+0301,ἰ̓́,ἰ̓́,U+1F30 U+0313 U+0301
ι,U+0313U+0313U+0342,ἰ̓͂,ἰ̓͂,U+1F30 U+0313 U+0342
ι,U+0313U+0313U+0300,ἰ̓̀,ἰ̓̀,U+1F30 U+0313 U+0300
ι,U+0313U+0313U+0345,ἰ̓ͅ,ἰ̓ͅ,U+1F30 U+0313 U+0345
ι,U+0313U+0314U+0314,ἰ̔̔,ἰ̔̔,U+1F30 U+0314 U+0314
ι,U+0313U+0314U+0301,ἰ̔́,ἰ̔́,U+1F30 U+0314 U+0301
ι,U+0313U+0314U+0342,ἰ̔͂,ἰ̔͂,U+1F30 U+0314 U+0342
ι,U+0313U+0314U+0300,ἰ̔̀,ἰ̔̀,U+1F30 U+0314 U+0300
ι,U+0313U+0314U+0345,ἰ̔ͅ,ἰ̔ͅ,U+1F30 U+0314 U+0345
ι,U+0313U+0301U+0301,ἴ́,ἴ́,U+1F34 U+0301
ι,U+0313U+0301U+0342,ἴ͂,ἴ͂,U+1F34 U+0342
ι,U+0313U+0301U+0300,ἴ̀,ἴ̀,U+1F34 U+0300
ι,U+0313U+0301U+0345,ἴͅ,ἴͅ,U+1F34 U+0345
ι,U+0313U+0342U+0342,ἶ͂,ἶ͂,U+1F36 U+0342
ι,U+0313U+0342U+0300,ἶ̀,ἶ̀,U+1F36 U+0300
ι,U+0313U+0342U+0345,ἶͅ,ἶͅ,U+1F36 U+0345
ι,U+0313U+0300U+0300,ἲ̀,ἲ̀,U+1F32 U+0300
ι,U+0313U+0300U+0345,ἲͅ,ἲͅ,U+1F32 U+0345
ι,U+0313U+0345U+0345,ἰͅͅ,ἰͅͅ,U+1F30 U+0345 U+0345
ι,U+0314U+0314U+0314,ἱ̔̔,ἱ̔̔,U+1F31 U+0314 U+0314
ι,U+0314U+0314U+0301,ἱ̔́,ἱ̔́,U+1F31 U+0314 U+0301
ι,U+0314U+0314U+0342,ἱ̔͂,ἱ̔͂,U+1F31 U+0314 U+0342
ι,U+0314U+0314U+0300,ἱ̔̀,ἱ̔̀,U+1F31 U+0314 U+0300
