Base,Diacríticos,Forma descompuesta,Forma precompuesta,Unicode precompuesta
ι,U+0314U+0314U+0345,ἱ̔ͅ,ἱ̔ͅ,U+1F31 U+0314 U+0345
ι,U+0314U+0301U+0301,ἵ́,ἵ́,U+1F35 U+0301
ι,U+0314U+0301U+0342,ἵ͂,ἵ͂,U+1F35 U+0342
ι,U+0314U+0301U+0300,ἵ̀,ἵ̀,U+1F35 U+0300
ι,U+0314U+0301U+0345,ἵͅ,ἵͅ,U+1F35 U+0345
ι,U+0314U+0342U+0342,ἷ͂,ἷ͂,U+1F37 U+0342
ι,U+0314U+0342U+0300,ἷ̀,ἷ̀,U+1F37 U+0300
ι,U+0314U+0342U+0345,ἷͅ,ἷͅ,U+1F37 U+0345
ι,U+0314U+0300U+0300,ἳ̀,ἳ̀,U+1F33 U+0300
ι,U+0314U+0300U+0345,ἳͅ,ἳͅ,U+1F33 U+0345
ι,U+0314U+0345U+0345,ἱͅͅ,ἱͅͅ,U+1F31 U+0345 U+0345
ι,U+0301U+0301U+0301,ί́́,ί́́,U+03AF U+0301 U+0301
ι,U+0301U+0301U+0342,ί́͂,ί́͂,U+03AF U+0301 U+0342
ι,U+0301U+0301U+0300,ί́̀,ί́̀,U+03AF U+0301 U+0300
ι,U+0301U+0301U+0345,ί́ͅ,ί́ͅ,U+03AF U+0301 U+0345
ι,U+0301U+0342U+0342,ί͂͂,ί͂͂,U+03AF U+0342 U+0342
ι,U+0301U+0342U+0300,ί͂̀,ί͂̀,U+03AF U+0342 U+0300
ι,U+0301U+0342U+0345,ί͂ͅ,ί͂ͅ,U+03AF U+0342 U+0345
ι,U+0301U+0300U+0300,ί̀̀,ί̀̀,U+03AF U+0300 U+0300
ι,U+0301U+0300U+0345,ί̀ͅ,ί̀ͅ,U+03AF U+0300 U+0345
ι,U+0301U+0345U+0345,ίͅͅ,ίͅͅ,U+03AF U+0345 U+0345
ι,U+0342U+0342U+0342,ῖ͂͂,ῖ͂͂,U+1FD6 U+0342 U+0342
ι,U+0342U+0342U+0300,ῖ͂̀,ῖ͂̀,U+1FD6 U+0342 U+0300
ι,U+0342U+0342U+0345,ῖ͂ͅ,ῖ͂ͅ,U+1FD6 U+0342 U+0345
ι,U+0342U+0300U+0300,ῖ̀̀,ῖ̀̀,U+1FD6 U+0300 U+0300
ι,U+0342U+0300U+0345,ῖ̀ͅ,ῖ̀ͅ,U+1FD6 U+0300 U+0345
ι,U+0342U+0345U+0345,ῖͅͅ,ῖͅͅ,U+1FD6 U+0345 U+0345
ι,U+0300U+0300U+0300,ὶ̀̀,ὶ̀̀,U+1F76 U+0300 U+0300
ι,U+0300U+0300U+0345,ὶ̀ͅ,ὶ̀ͅ,U+1F76 U+0300 U+0345
ι,U+0300U+0345U+0345,ὶͅͅ,ὶͅͅ,U+1F76 U+0345 U+0345
ι,U+0345U+0345U+0345,ιͅͅͅ,ιͅͅͅ,U+03B9 U+0345 U+0345 U+0345
ο,U+0313,ὀ,ὀ,U+1F40
ο,U+0314,ὁ,ὁ,U+1F41
ο,U+0301,ό,ό,U+03CC
ο,U+0342,ο͂,ο͂,U+03BF U+0342
ο,U+0300,ὸ,ὸ,U+1F78
ο,U+0345,οͅ,οͅ,U+03BF U+0345
ο,U+0313U+0313,ὀ̓,ὀ̓,U+1F40 U+0313
ο,U+0313U+0314,ὀ̔,ὀ̔,U+1F40 U+0314
ο,U+0313U+0301,ὄ,ὄ,U+1F44
ο,U+0313U+0342,ὀ͂,ὀ͂,U+1F40 U+0342
ο,U+0313U+0300,ὂ,ὂ,U+1F42
ο,U+0313U+0345,ὀͅ,ὀͅ,U+1F40 U+0345
ο,U+0314U+0314,ὁ̔,ὁ̔,U+1F41 U+0314
ο,U+0314U+0301,ὅ,ὅ,U+1F45
ο,U+0314U+0342,ὁ͂,ὁ͂,U+1F41 U+0342
ο,U+0314U+0300,ὃ,ὃ,U+1F43
ο,U+0314U+0345,ὁͅ,ὁͅ,U+1F41 U+0345
ο,U+0301U+0301,ό́,ό́,U+03CC U+0301
ο,U+0301U+0342,ό͂,ό͂,U+03CC U+0342
ο,U+0301U+0300,ό̀,ό̀,U+03CC U+0300
ο,U+0301U+0345,όͅ,όͅ,U+03CC U+0345
ο,U+0342U+0342,ο͂͂,ο͂͂,U+03BF U+0342 U+0342
ο,U+0342U+0300,ο͂̀,ο͂̀,U+03BF U+0342 U+0300
ο,U+0342U+0345,ο͂ͅ,ο͂ͅ,U+03BF U+0342 U+0345
ο,U+0300U+0300,ὸ̀,ὸ̀,U+1F78 U+0300
ο,U+0300U+0345,ὸͅ,ὸͅ,U+1F78 U+0345
ο,U+0345U+0345,οͅͅ,οͅͅ,U+03BF U+0345 U+0345
ο,U+0313U+0313U+0313,ὀ̓̓,ὀ̓̓,U+1F40 U+0313 U+0313
ο,U+0313U+0313U+0314,ὀ̓̔,ὀ̓̔,U+1F40 U+0313 U+0314
ο,U+0313U+0313U+0301,ὀ̓́,ὀ̓́,U+1F40 U+0313 U+0301
ο,U+0313U+0313U+0342,ὀ̓͂,ὀ̓͂,U+1F40 U+0313 U+0342
ο,U+0313U+0313U+0300,ὀ̓̀,ὀ̓̀,U+1F40 U+0313 U+0300
ο,U+0313U+0313U+0345,ὀ̓ͅ,ὀ̓ͅ,U+1F40 U+0313 U+0345
ο,U+0313U+0314U+0314,ὀ̔̔,ὀ̔̔,U+1F40 U+0314 U+0314
ο,U+0313U+0314U+0301,ὀ̔́,ὀ̔́,U+1F40 U+0314 U+0301
ο,U+0313U+0314U+0342,ὀ̔͂,ὀ̔͂,U+1F40 U+0314 U+0342
ο,U+0313U+0314U+0300,ὀ̔̀,ὀ̔̀,U+1F40 U+0314 U+0300
ο,U+0313U+0314U+0345,ὀ̔ͅ,ὀ̔ͅ,U+1F40 U+0314 U+0345
ο,U+0313U+0301U+0301,ὄ́,ὄ́,U+1F44 U+0301
ο,U+0313U+0301U+0342,ὄ͂,ὄ͂,U+1F44 U+0342
ο,U+0313U+0301U+0300,ὄ̀,ὄ̀,U+1F44 U+0300
ο,U+0313U+0301U+0345,ὄͅ,ὄͅ,U+1F44 U+0345
ο,U+0313U+0342U+0342,ὀ͂͂,ὀ͂͂,U+1F40 U+0342 U+0342
ο,U+0313U+0342U+0300,ὀ͂̀,ὀ͂̀,U+1F40 U+0342 U+0300
ο,U+0313U+0342U+0345,ὀ͂ͅ,ὀ͂ͅ,U+1F40 U+0342 U+0345
ο,U+0313U+0300U+0300,ὂ̀,ὂ̀,U+1F42 U+0300
ο,U+0313U+0300U+0345,ὂͅ,ὂͅ,U+1F42 U+0345
ο,U+0313U+0345U+0345,ὀͅͅ,ὀͅͅ,U+1F40 U+0345 U+0345
ο,U+0314U+0314U+0314,ὁ̔̔,ὁ̔̔,U+1F41 U+0314 U+0314
ο,U+0314U+0314U+0301,ὁ̔́,ὁ̔́,U+1F41 U+0314 U+0301
ο,U+0314U+0314U+0342,ὁ̔͂,ὁ̔͂,U+1F41 U+0314 U+0342
ο,U+0314U+0314U+0300,ὁ̔̀,ὁ̔̀,U+1F41 U+0314 U+0300
ο,U+0314U+0314U+0345,ὁ̔ͅ,ὁ̔ͅ,U+1F41 U+0314 U+0345
ο,U+0314U+0301U+0301,ὅ́,ὅ́,U+1F45 U+0301
ο,U+0314U+0301U+0342,ὅ͂,ὅ͂,U+1F45 U+0342
ο,U+0314U+0301U+0300,ὅ̀,ὅ̀,U+1F45 U+0300
ο,U+0314U+0301U+0345,ὅͅ,ὅͅ,U+1F45 U+0345
ο,U+0314U+0342U+0342,ὁ͂͂,ὁ͂͂,U+1F41 U+0342 U+0342
ο,U+0314U+0342U+0300,ὁ͂̀,ὁ͂̀,U+1F41 U+0342 U+0300
ο,U+0314U+0342U+0345,ὁ͂ͅ,ὁ͂ͅ,U+1F41 U+0342 U+0345
ο,U+0314U+0300U+0300,ὃ̀,ὃ̀,U+1F43 U+0300
ο,U+0314U+0300U+0345,ὃͅ,ὃͅ,U+1F43 U+0345
ο,U+0314U+0345U+0345,ὁͅͅ,ὁͅͅ,U+1F41 U+0345 U+0345
ο,U+0301U+0301U+0301,ό́́,ό́́,U+03CC U+0301 U+0301
ο,U+0301U+0301U+0342,ό́͂,ό́͂,U+03CC U+0301 U+0342
ο,U+0301U+0301U+0300,ό́̀,ό́̀,U+03CC U+0301 U+0300
ο,U+0301U+0301U+0345,ό́ͅ,ό́ͅ,U+03CC U+0301 U+0345
ο,U+0301U+0342U+0342,ό͂͂,ό͂͂,U+03CC U+0342 U+0342
ο,U+0301U+0342U+0300,ό͂̀,ό͂̀,U+03CC U+0342 U+0300
ο,U+0301U+0342U+0345,ό͂ͅ,ό͂ͅ,U+03CC U+0342 U+0345
ο,U+0301U+0300U+0300,ό̀̀,ό̀̀,U+03CC U+0300 U+0300
ο,U+0301U+0300U+0345,ό̀ͅ,ό̀ͅ,U+03CC U+0300 U+0345
ο,U+0301U+0345U+0345,όͅͅ,όͅͅ,U+03CC U+0345 U+0345
ο,U+0342U+0342U+0342,ο͂͂͂,ο͂͂͂,U+03BF U+0342 U+0342 U+0342
ο,U+0342U+0342U+0300,ο͂͂̀,ο͂͂̀,U+03BF U+0342 U+0342 U+0300
ο,U+0342U+0342U+0345,ο͂͂ͅ,ο͂͂ͅ,U+03BF U+0342 U+0342 U+0345
ο,U+0342U+0300U+0300,ο͂̀̀,ο͂̀̀,U+03BF U+0342 U+0300 U+0300
ο,U+0342U+0300U+0345,ο͂̀ͅ,ο͂̀ͅ,U+03BF U+0342 U+0300 U+0345
ο,U+0342U+0345U+0345,ο͂ͅͅ,ο͂ͅͅ,U+03BF U+0342 U+0345 U+0345
ο,U+0300U+0300U+0300,ὸ̀̀,ὸ̀̀,U+1F78 U+0300 U+0300
ο,U+0300U+0300U+0345,ὸ̀ͅ,ὸ̀ͅ,U+1F78 U+0300 U+0345
ο,U+0300U+0345U+0345,ὸͅͅ,ὸͅͅ,U+1F78 U+0345 U+0345
ο,U+0345U+0345U+0345,οͅͅͅ,οͅͅͅ,U+03BF U+0345 U+0345 U+0345
υ,U+0313,ὐ,ὐ,U+1F50
υ,U+0314,ὑ,ὑ,U+1F51
υ,U+0301,ύ,ύ,U+03CD
υ,U+0342,ῦ,ῦ,U+1FE6
υ,U+0300,ὺ,ὺ,U+1F7A
υ,U+0345,υͅ,υͅ,U+03C5 U+0345
υ,U+0313U+0313,ὐ̓,ὐ̓,U+1F50 U+0313
υ,U+0313U+0314,ὐ̔,ὐ̔,U+1F50 U+0314
υ,U+0313U+0301,ὔ,ὔ,U+1F54
υ,U+0313U+0342,ὖ,ὖ,U+1F56
υ,U+0313U+0300,ὒ,ὒ,U+1F52
υ,U+0313U+0345,ὐͅ,ὐͅ,U+1F50 U+0345
υ,U+0314U+0314,ὑ̔,ὑ̔,U+1F51 U+0314
υ,U+0314U+0301,ὕ,ὕ,U+1F55
υ,U+0314U+0342,ὗ,ὗ,U+1F57
υ,U+0314U+0300,ὓ,ὓ,U+1F53
υ,U+0314U+0345,ὑͅ,ὑͅ,U+1F51 U+0345
υ,U+0301U+0301,ύ́,ύ́,U+03CD U+0301
υ,U+0301U+0342,ύ͂,ύ͂,U+03CD U+0342
υ,U+0301U+0300,ύ̀,ύ̀,U+03CD U+0300
υ,U+0301U+0345,ύͅ,ύͅ,U+03CD U+0345
υ,U+0342U+0342,ῦ͂,ῦ͂,U+1FE6 U+0342
υ,U+0342U+0300,ῦ̀,ῦ̀,U+1FE6 U+0300
υ,U+0342U+0345,ῦͅ,ῦͅ,U+1FE6 U+0345
υ,U+0300U+0300,ὺ̀,ὺ̀,U+1F7A U+0300
υ,U+0300U+0345,ὺͅ,ὺͅ,U+1F7A U+0345
υ,U+0345U+0345,υͅͅ,υͅͅ,U+03C5 U+0345 U+0345
υ,U+0313U+0313U+0313,ὐ̓̓,ὐ̓̓,U+1F50 U+0313 U+0313
υ,U+0313U+0313U+0314,ὐ̓̔,ὐ̓̔,U+1F50 U+0313 U+0314
υ,U+0313U+0313U+0301,ὐ̓́,ὐ̓́,U+1F50 U+0313 U+0301
υ,U+0313U+0313U+0342,ὐ̓͂,ὐ̓͂,U+1F50 U+0313 U+0342
υ,U+0313U+0313U+0300,ὐ̓̀,ὐ̓̀,U+1F50 U+0313 U+0300
υ,U+0313U+0313U+0345,ὐ̓ͅ,ὐ̓ͅ,U+1F50 U+0313 U+0345
υ,U+0313U+0314U+0314,ὐ̔̔,ὐ̔̔,U+1F50 U+0314 U+0314
υ,U+0313U+0314U+0301,ὐ̔́,ὐ̔́,U+1F50 U+0314 U+0301
υ,U+0313U+0314U+0342,ὐ̔͂,ὐ̔͂,U+1F50 U+0314 U+0342
υ,U+0313U+0314U+0300,ὐ̔̀,ὐ̔̀,U+1F50 U+0314 U+0300
υ,U+0313U+0314U+0345,ὐ̔ͅ,ὐ̔ͅ,U+1F50 U+0314 U+0345
υ,U+0313U+0301U+0301,ὔ́,ὔ́,U+1F54 U+0301
υ,U+0313U+0301U+0342,ὔ͂,ὔ͂,U+1F54 U+0342
υ,U+0313U+0301U+0300,ὔ̀,ὔ̀,U+1F54 U+0300
υ,U+0313U+0301U+0345,ὔͅ,ὔͅ,U+1F54 U+0345
υ,U+0313U+0342U+0342,ὖ͂,ὖ͂,U+1F56 U+0342
υ,U+0313U+0342U+0300,ὖ̀,ὖ̀,U+1F56 U+0300
υ,U+0313U+0342U+0345,ὖͅ,ὖͅ,U+1F56 U+0345
υ,U+0313U+0300U+0300,ὒ̀,ὒ̀,U+1F52 U+0300
υ,U+0313U+0300U+0345,ὒͅ,ὒͅ,U+1F52 U+0345
υ,U+0313U+0345U+0345,ὐͅͅ,ὐͅͅ,U+1F50 U+0345 U+0345
υ,U+0314U+0314U+0314,ὑ̔̔,ὑ̔̔,U+1F51 U+0314 U+0314
υ,U+0314U+0314U+0301,ὑ̔́,ὑ̔́,U+1F51 U+0314 U+0301
υ,U+0314U+0314U+0342,ὑ̔͂,ὑ̔͂,U+1F51 U+0314 U+0342
υ,U+0314U+0314U+0300,ὑ̔̀,ὑ̔̀,U+1F51 U+0314 U+0300
υ,U+0314U+0314U+0345,ὑ̔ͅ,ὑ̔ͅ,U+1F51 U+0314 U+0345
υ,U+0314U+0301U+0301,ὕ́,ὕ́,U+1F55 U+0301
υ,U+0314U+0301U+0342,ὕ͂,ὕ͂,U+1F55 U+0342
υ,U+0314U+0301U+0300,ὕ̀,ὕ̀,U+1F55 U+0300
υ,U+0314U+0301U+0345,ὕͅ,ὕͅ,U+1F55 U+0345
υ,U+0314U+0342U+0342,ὗ͂,ὗ͂,U+1F57 U+0342
υ,U+0314U+0342U+0300,ὗ̀,ὗ̀,U+1F57 U+0300
υ,U+0314U+0342U+0345,ὗͅ,ὗͅ,U+1F57 U+0345
υ,U+0314U+0300U+0300,ὓ̀,ὓ̀,U+1F53 U+0300
υ,U+0314U+0300U+0345,ὓͅ,ὓͅ,U+1F53 U+0345
υ,U+0314U+0345U+0345,ὑͅͅ,ὑͅͅ,U+1F51 U+0345 U+0345
υ,U+0301U+0301U+0301,ύ́́,ύ́́,U+03CD U+0301 U+0301
υ,U+0301U+0301U+0342,ύ́͂,ύ́͂,U+03CD U+0301 U+0342
υ,U+0301U+0301U+0300,ύ́̀,ύ́̀,U+03CD U+0301 U+0300
υ,U+0301U+0301U+0345,ύ́ͅ,ύ́ͅ,U+03CD U+0301 U+0345
υ,U+0301U+0342U+0342,ύ͂͂,ύ͂͂,U+03CD U+0342 U+0342
υ,U+0301U+0342U+0300,ύ͂̀,ύ͂̀,U+03CD U+0342 U+0300
υ,U+0301U+0342U+0345,ύ͂ͅ,ύ͂ͅ,U+03CD U+0342 U+0345
υ,U+0301U+0300U+0300,ύ̀̀,ύ̀̀,U+03CD U+0300 U+0300
υ,U+0301U+0300U+0345,ύ̀ͅ,ύ̀ͅ,U+03CD U+0300 U+0345
υ,U+0301U+0345U+0345,ύͅͅ,ύͅͅ,U+03CD U+0345 U+0345
υ,U+0342U+0342U+0342,ῦ͂͂,ῦ͂͂,U+1FE6 U+0342 U+0342
υ,U+0342U+0342U+0300,ῦ͂̀,ῦ͂̀,U+1FE6 U+0342 U+0300
υ,U+0342U+0342U+0345,ῦ͂ͅ,ῦ͂ͅ,U+1FE6 U+0342 U+0345
υ,U+0342U+0300U+0300,ῦ̀̀,ῦ̀̀,U+1FE6 U+0300 U+0300
υ,U+0342U+0300U+0345,ῦ̀ͅ,ῦ̀ͅ,U+1FE6 U+0300 U+0345
υ,U+0342U+0345U+0345,ῦͅͅ,ῦͅͅ,U+1FE6 U+0345 U+0345
υ,U+0300U+0300U+0300,ὺ̀̀,ὺ̀̀,U+1F7A U+0300 U+0300
υ,U+0300U+0300U+0345,ὺ̀ͅ,ὺ̀ͅ,U+1F7A U+0300 U+0345
υ,U+0300U+0345U+0345,ὺͅͅ,ὺͅͅ,U+1F7A U+0345 U+0345
υ,U+0345U+0345U+0345,υͅͅͅ,υͅͅͅ,U+03C5 U+0345 U+0345 U+0345
ω,U+0313,ὠ,ὠ,U+1F60
ω,U+0314,ὡ,ὡ,U+1F61
ω,U+0301,ώ,ώ,U+03CE
ω,U+0342,ῶ,ῶ,U+1FF6
ω,U+0300,ὼ,ὼ,U+1F7C
ω,U+0345,ῳ,ῳ,U+1FF3
ω,U+0313U+0313,ὠ̓,ὠ̓,U+1F60 U+0313
ω,U+0313U+0314,ὠ̔,ὠ̔,U+1F60 U+0314
ω,U+0313U+0301,ὤ,ὤ,U+1F64
ω,U+0313U+0342,ὦ,ὦ,U+1F66
ω,U+0313U+0300,ὢ,ὢ,U+1F62
ω,U+0313U+0345,ᾠ,ᾠ,U+1FA0
ω,U+0314U+0314,ὡ̔,ὡ̔,U+1F61 U+0314
ω,U+0314U+0301,ὥ,ὥ,U+1F65
ω,U+0314U+0342,ὧ,ὧ,U+1F67
ω,U+0314U+0300,ὣ,ὣ,U+1F63
ω,U+0314U+0345,ᾡ,ᾡ,U+1FA1
ω,U+0301U+0301,ώ́,ώ́,U+03CE U+0301
ω,U+0301U+0342,ώ͂,ώ͂,U+03CE U+0342
ω,U+0301U+0300,ώ̀,ώ̀,U+03CE U+0300
ω,U+0301U+0345,ῴ,ῴ,U+1FF4
ω,U+0342U+0342,ῶ͂,ῶ͂,U+1FF6 U+0342
ω,U+0342U+0300,ῶ̀,ῶ̀,U+1FF6 U+0300
ω,U+0342U+0345,ῷ,ῷ,U+1FF7
ω,U+0300U+0300,ὼ̀,ὼ̀,U+1F7C U+0300
ω,U+0300U+0345,ῲ,ῲ,U+1FF2
ω,U+0345U+0345,ῳͅ,ῳͅ,U+1FF3 U+0345
ω,U+0313U+0313U+0313,ὠ̓̓,ὠ̓̓,U+1F60 U+0313 U+0313
ω,U+0313U+0313U+0314,ὠ̓̔,ὠ̓̔,U+1F60 U+0313 U+0314
ω,U+0313U+0313U+0301,ὠ̓́,ὠ̓́,U+1F60 U+0313 U+0301
ω,U+0313U+0313U+0342,ὠ̓͂,ὠ̓͂,U+1F60 U+0313 U+0342
ω,U+0313U+0313U+0300,ὠ̓̀,ὠ̓̀,U+1F60 U+0313 U+0300
ω,U+0313U+0313U+0345,ᾠ̓,ᾠ̓,U+1FA0 U+0313
ω,U+0313U+0314U+0314,ὠ̔̔,ὠ̔̔,U+1F60 U+0314 U+0314
ω,U+0313U+0314U+0301,ὠ̔́,ὠ̔́,U+1F60 U+0314 U+0301
ω,U+0313U+0314U+0342,ὠ̔͂,ὠ̔͂,U+1F60 U+0314 U+0342
ω,U+0313U+0314U+0300,ὠ̔̀,ὠ̔̀,U+1F60 U+0314 U+0300
ω,U+0313U+0314U+0345,ᾠ̔,ᾠ̔,U+1FA0 U+0314
ω,U+0313U+0301U+0301,ὤ́,ὤ́,U+1F64 U+0301
ω,U+0313U+0301U+0342,ὤ͂,ὤ͂,U+1F64 U+0342
ω,U+0313U+0301U+0300,ὤ̀,ὤ̀,U+1F64 U+0300
ω,U+0313U+0301U+0345,ᾤ,ᾤ,U+1FA4
ω,U+0313U+0342U+0342,ὦ͂,ὦ͂,U+1F66 U+0342
ω,U+0313U+0342U+0300,ὦ̀,ὦ̀,U+1F66 U+0300
ω,U+0313U+0342U+0345,ᾦ,ᾦ,U+1FA6
ω,U+0313U+0300U+0300,ὢ̀,ὢ̀,U+1F62 U+0300
ω,U+0313U+0300U+0345,ᾢ,ᾢ,U+1FA2
ω,U+0313U+0345U+0345,ᾠͅ,ᾠͅ,U+1FA0 U+0345
ω,U+0314U+0314U+0314,ὡ̔̔,ὡ̔̔,U+1F61 U+0314 U+0314
ω,U+0314U+0314U+0301,ὡ̔́,ὡ̔́,U+1F61 U+0314 U+0301
ω,U+0314U+0314U+0342,ὡ̔͂,ὡ̔͂,U+1F61 U+0314 U+0342
ω,U+0314U+0314U+0300,ὡ̔̀,ὡ̔̀,U+1F61 U+0314 U+0300
ω,U+0314U+0314U+0345,ᾡ̔,ᾡ̔,U+1FA1 U+0314
ω,U+0314U+0301U+0301,ὥ́,ὥ́,U+1F65 U+0301
ω,U+0314U+0301U+0342,ὥ͂,ὥ͂,U+1F65 U+0342
ω,U+0314U+0301U+0300,ὥ̀,ὥ̀,U+1F65 U+0300
ω,U+0314U+0301U+0345,ᾥ,ᾥ,U+1FA5
ω,U+0314U+0342U+0342,ὧ͂,ὧ͂,U+1F67 U+0342
ω,U+0314U+0342U+0300,ὧ̀,ὧ̀,U+1F67 U+0300
ω,U+0314U+0342U+0345,ᾧ,ᾧ,U+1FA7
ω,U+0314U+0300U+0300,ὣ̀,ὣ̀,U+1F63 U+0300
ω,U+0314U+0300U+0345,ᾣ,ᾣ,U+1FA3
ω,U+0314U+0345U+0345,ᾡͅ,ᾡͅ,U+1FA1 U+0345
ω,U+0301U+0301U+0301,ώ́́,ώ́́,U+03CE U+0301 U+0301
ω,U+0301U+0301U+0342,ώ́͂,ώ́͂,U+03CE U+0301 U+0342
ω,U+0301U+0301U+0300,ώ́̀,ώ́̀,U+03CE U+0301 U+0300
ω,U+0301U+0301U+0345,ῴ́,ῴ́,U+1FF4 U+0301
ω,U+0301U+0342U+0342,ώ͂͂,ώ͂͂,U+03CE U+0342 U+0342
ω,U+0301U+0342U+0300,ώ͂̀,ώ͂̀,U+03CE U+0342 U+0300
ω,U+0301U+0342U+0345,ῴ͂,ῴ͂,U+1FF4 U+0342
ω,U+0301U+0300U+0300,ώ̀̀,ώ̀̀,U+03CE U+0300 U+0300
ω,U+0301U+0300U+0345,ῴ̀,ῴ̀,U+1FF4 U+0300
ω,U+0301U+0345U+0345,ῴͅ,ῴͅ,U+1FF4 U+0345
ω,U+0342U+0342U+0342,ῶ͂͂,ῶ͂͂,U+1FF6 U+0342 U+0342
ω,U+0342U+0342U+0300,ῶ͂̀,ῶ͂̀,U+1FF6 U+0342 U+0300
ω,U+0342U+0342U+0345,ῷ͂,ῷ͂,U+1FF7 U+0342
ω,U+0342U+0300U+0300,ῶ̀̀,ῶ̀̀,U+1FF6 U+0300 U+0300
ω,U+0342U+0300U+0345,ῷ̀,ῷ̀,U+1FF7 U+0300
ω,U+0342U+0345U+0345,ῷͅ,ῷͅ,U+1FF7 U+0345
ω,U+0300U+0300U+0300,ὼ̀̀,ὼ̀̀,U+1F7C U+0300 U+0300
ω,U+0300U+0300U+0345,ῲ̀,ῲ̀,U+1FF2 U+0300
ω,U+0300U+0345U+0345,ῲͅ,ῲͅ,U+1FF2 U+0345
ω,U+0345U+0345U+0345,ῳͅͅ,ῳͅͅ,U+1FF3 U+0345 U+0345
Α,U+0313,Ἀ,Ἀ,U+1F08
Α,U+0314,Ἁ,Ἁ,U+1F09
Α,U+0301,Ά,Ά,U+0386
Α,U+0342,Α͂,Α͂,U+0391 U+0342
Α,U+0300,Ὰ,Ὰ,U+1FBA
Α,U+0345,ᾼ,ᾼ,U+1FBC
Α,U+0313U+0313,Ἀ̓,Ἀ̓,U+1F08 U+0313
Α,U+0313U+0314,Ἀ̔,Ἀ̔,U+1F08 U+0314
Α,U+0313U+0301,Ἄ,Ἄ,U+1F0C
Α,U+0313U+0342,Ἆ,Ἆ,U+1F0E
Α,U+0313U+0300,Ἂ,Ἂ,U+1F0A
Α,U+0313U+0345,ᾈ,ᾈ,U+1F88
Α,U+0314U+0314,Ἁ̔,Ἁ̔,U+1F09 U+0314
Α,U+0314U+0301,Ἅ,Ἅ,U+1F0D
Α,U+0314U+0342,Ἇ,Ἇ,U+1F0F
Α,U+0314U+0300,Ἃ,Ἃ,U+1F0B
