Base,Diacríticos,Forma descompuesta,Forma precompuesta,Unicode precompuesta
Ι,U+0314U+0342U+0342,Ἷ͂,Ἷ͂,U+1F3F U+0342
Ι,U+0314U+0342U+0300,Ἷ̀,Ἷ̀,U+1F3F U+0300
Ι,U+0314U+0342U+0345,Ἷͅ,Ἷͅ,U+1F3F U+0345
Ι,U+0314U+0300U+0300,Ἳ̀,Ἳ̀,U+1F3B U+0300
Ι,U+0314U+0300U+0345,Ἳͅ,Ἳͅ,U+1F3B U+0345
Ι,U+0314U+0345U+0345,Ἱͅͅ,Ἱͅͅ,U+1F39 U+0345 U+0345
Ι,U+0301U+0301U+0301,Ί́́,Ί́́,U+038A U+0301 U+0301
Ι,U+0301U+0301U+0342,Ί́͂,Ί́͂,U+038A U+0301 U+0342
Ι,U+0301U+0301U+0300,Ί́̀,Ί́̀,U+038A U+0301 U+0300
Ι,U+0301U+0301U+0345,Ί́ͅ,Ί́ͅ,U+038A U+0301 U+0345
Ι,U+0301U+0342U+0342,Ί͂͂,Ί͂͂,U+038A U+0342 U+0342
Ι,U+0301U+0342U+0300,Ί͂̀,Ί͂̀,U+038A U+0342 U+0300
Ι,U+0301U+0342U+0345,Ί͂ͅ,Ί͂ͅ,U+038A U+0342 U+0345
Ι,U+0301U+0300U+0300,Ί̀̀,Ί̀̀,U+038A U+0300 U+0300
Ι,U+0301U+0300U+0345,Ί̀ͅ,Ί̀ͅ,U+038A U+0300 U+0345
Ι,U+0301U+0345U+0345,Ίͅͅ,Ίͅͅ,U+038A U+0345 U+0345
Ι,U+0342U+0342U+0342,Ι͂͂͂,Ι͂͂͂,U+0399 U+0342 U+0342 U+0342
Ι,U+0342U+0342U+0300,Ι͂͂̀,Ι͂͂̀,U+0399 U+0342 U+0342 U+0300
Ι,U+0342U+0342U+0345,Ι͂͂ͅ,Ι͂͂ͅ,U+0399 U+0342 U+0342 U+0345
Ι,U+0342U+0300U+0300,Ι͂̀̀,Ι͂̀̀,U+0399 U+0342 U+0300 U+0300
Ι,U+0342U+0300U+0345,Ι͂̀ͅ,Ι͂̀ͅ,U+0399 U+0342 U+0300 U+0345
Ι,U+0342U+0345U+0345,Ι͂ͅͅ,Ι͂ͅͅ,U+0399 U+0342 U+0345 U+0345
Ι,U+0300U+0300U+0300,Ὶ̀̀,Ὶ̀̀,U+1FDA U+0300 U+0300
Ι,U+0300U+0300U+0345,Ὶ̀ͅ,Ὶ̀ͅ,U+1FDA U+0300 U+0345
Ι,U+0300U+0345U+0345,Ὶͅͅ,Ὶͅͅ,U+1FDA U+0345 U+0345
Ι,U+0345U+0345U+0345,Ιͅͅͅ,Ιͅͅͅ,U+0399 U+0345 U+0345 U+0345
Ο,U+0313,Ὀ,Ὀ,U+1F48
Ο,U+0314,Ὁ,Ὁ,U+1F49
Ο,U+0301,Ό,Ό,U+038C
Ο,U+0342,Ο͂,Ο͂,U+039F U+0342
Ο,U+0300,Ὸ,Ὸ,U+1FF8
Ο,U+0345,Οͅ,Οͅ,U+039F U+0345
Ο,U+0313U+0313,Ὀ̓,Ὀ̓,U+1F48 U+0313
Ο,U+0313U+0314,Ὀ̔,Ὀ̔,U+1F48 U+0314
Ο,U+0313U+0301,Ὄ,Ὄ,U+1F4C
Ο,U+0313U+0342,Ὀ͂,Ὀ͂,U+1F48 U+0342
Ο,U+0313U+0300,Ὂ,Ὂ,U+1F4A
Ο,U+0313U+0345,Ὀͅ,Ὀͅ,U+1F48 U+0345
Ο,U+0314U+0314,Ὁ̔,Ὁ̔,U+1F49 U+0314
Ο,U+0314U+0301,Ὅ,Ὅ,U+1F4D
Ο,U+0314U+0342,Ὁ͂,Ὁ͂,U+1F49 U+0342
Ο,U+0314U+0300,Ὃ,Ὃ,U+1F4B
Ο,U+0314U+0345,Ὁͅ,Ὁͅ,U+1F49 U+0345
Ο,U+0301U+0301,Ό́,Ό́,U+038C U+0301
Ο,U+0301U+0342,Ό͂,Ό͂,U+038C U+0342
Ο,U+0301U+0300,Ό̀,Ό̀,U+038C U+0300
Ο,U+0301U+0345,Όͅ,Όͅ,U+038C U+0345
Ο,U+0342U+0342,Ο͂͂,Ο͂͂,U+039F U+0342 U+0342
Ο,U+0342U+0300,Ο͂̀,Ο͂̀,U+039F U+0342 U+0300
Ο,U+0342U+0345,Ο͂ͅ,Ο͂ͅ,U+039F U+0342 U+0345
Ο,U+0300U+0300,Ὸ̀,Ὸ̀,U+1FF8 U+0300
Ο,U+0300U+0345,Ὸͅ,Ὸͅ,U+1FF8 U+0345
Ο,U+0345U+0345,Οͅͅ,Οͅͅ,U+039F U+0345 U+0345
Ο,U+0313U+0313U+0313,Ὀ̓̓,Ὀ̓̓,U+1F48 U+0313 U+0313
Ο,U+0313U+0313U+0314,Ὀ̓̔,Ὀ̓̔,U+1F48 U+0313 U+0314
Ο,U+0313U+0313U+0301,Ὀ̓́,Ὀ̓́,U+1F48 U+0313 U+0301
Ο,U+0313U+0313U+0342,Ὀ̓͂,Ὀ̓͂,U+1F48 U+0313 U+0342
Ο,U+0313U+0313U+0300,Ὀ̓̀,Ὀ̓̀,U+1F48 U+0313 U+0300
Ο,U+0313U+0313U+0345,Ὀ̓ͅ,Ὀ̓ͅ,U+1F48 U+0313 U+0345
Ο,U+0313U+0314U+0314,Ὀ̔̔,Ὀ̔̔,U+1F48 U+0314 U+0314
Ο,U+0313U+0314U+0301,Ὀ̔́,Ὀ̔́,U+1F48 U+0314 U+0301
Ο,U+0313U+0314U+0342,Ὀ̔͂,Ὀ̔͂,U+1F48 U+0314 U+0342
Ο,U+0313U+0314U+0300,Ὀ̔̀,Ὀ̔̀,U+1F48 U+0314 U+0300
Ο,U+0313U+0314U+0345,Ὀ̔ͅ,Ὀ̔ͅ,U+1F48 U+0314 U+0345
Ο,U+0313U+0301U+0301,Ὄ́,Ὄ́,U+1F4C U+0301
Ο,U+0313U+0301U+0342,Ὄ͂,Ὄ͂,U+1F4C U+0342
Ο,U+0313U+0301U+0300,Ὄ̀,Ὄ̀,U+1F4C U+0300
Ο,U+0313U+0301U+0345,Ὄͅ,Ὄͅ,U+1F4C U+0345
Ο,U+0313U+0342U+0342,Ὀ͂͂,Ὀ͂͂,U+1F48 U+0342 U+0342
Ο,U+0313U+0342U+0300,Ὀ͂̀,Ὀ͂̀,U+1F48 U+0342 U+0300
Ο,U+0313U+0342U+0345,Ὀ͂ͅ,Ὀ͂ͅ,U+1F48 U+0342 U+0345
Ο,U+0313U+0300U+0300,Ὂ̀,Ὂ̀,U+1F4A U+0300
Ο,U+0313U+0300U+0345,Ὂͅ,Ὂͅ,U+1F4A U+0345
Ο,U+0313U+0345U+0345,Ὀͅͅ,Ὀͅͅ,U+1F48 U+0345 U+0345
Ο,U+0314U+0314U+0314,Ὁ̔̔,Ὁ̔̔,U+1F49 U+0314 U+0314
Ο,U+0314U+0314U+0301,Ὁ̔́,Ὁ̔́,U+1F49 U+0314 U+0301
Ο,U+0314U+0314U+0342,Ὁ̔͂,Ὁ̔͂,U+1F49 U+0314 U+0342
Ο,U+0314U+0314U+0300,Ὁ̔̀,Ὁ̔̀,U+1F49 U+0314 U+0300
Ο,U+0314U+0314U+0345,Ὁ̔ͅ,Ὁ̔ͅ,U+1F49 U+0314 U+0345
Ο,U+0314U+0301U+0301,Ὅ́,Ὅ́,U+1F4D U+0301
Ο,U+0314U+0301U+0342,Ὅ͂,Ὅ͂,U+1F4D U+0342
Ο,U+0314U+0301U+0300,Ὅ̀,Ὅ̀,U+1F4D U+0300
Ο,U+0314U+0301U+0345,Ὅͅ,Ὅͅ,U+1F4D U+0345
Ο,U+0314U+0342U+0342,Ὁ͂͂,Ὁ͂͂,U+1F49 U+0342 U+0342
Ο,U+0314U+0342U+0300,Ὁ͂̀,Ὁ͂̀,U+1F49 U+0342 U+0300
Ο,U+0314U+0342U+0345,Ὁ͂ͅ,Ὁ͂ͅ,U+1F49 U+0342 U+0345
Ο,U+0314U+0300U+0300,Ὃ̀,Ὃ̀,U+1F4B U+0300
Ο,U+0314U+0300U+0345,Ὃͅ,Ὃͅ,U+1F4B U+0345
Ο,U+0314U+0345U+0345,Ὁͅͅ,Ὁͅͅ,U+1F49 U+0345 U+0345
Ο,U+0301U+0301U+0301,Ό́́,Ό́́,U+038C U+0301 U+0301
Ο,U+0301U+0301U+0342,Ό́͂,Ό́͂,U+038C U+0301 U+0342
Ο,U+0301U+0301U+0300,Ό́̀,Ό́̀,U+038C U+0301 U+0300
Ο,U+0301U+0301U+0345,Ό́ͅ,Ό́ͅ,U+038C U+0301 U+0345
Ο,U+0301U+0342U+0342,Ό͂͂,Ό͂͂,U+038C U+0342 U+0342
Ο,U+0301U+0342U+0300,Ό͂̀,Ό͂̀,U+038C U+0342 U+0300
Ο,U+0301U+0342U+0345,Ό͂ͅ,Ό͂ͅ,U+038C U+0342 U+0345
Ο,U+0301U+0300U+0300,Ό̀̀,Ό̀̀,U+038C U+0300 U+0300
Ο,U+0301U+0300U+0345,Ό̀ͅ,Ό̀ͅ,U+038C U+0300 U+0345
Ο,U+0301U+0345U+0345,Όͅͅ,Όͅͅ,U+038C U+0345 U+0345
Ο,U+0342U+0342U+0342,Ο͂͂͂,Ο͂͂͂,U+039F U+0342 U+0342 U+0342
Ο,U+0342U+0342U+0300,Ο͂͂̀,Ο͂͂̀,U+039F U+0342 U+0342 U+0300
Ο,U+0342U+0342U+0345,Ο͂͂ͅ,Ο͂͂ͅ,U+039F U+0342 U+0342 U+0345
Ο,U+0342U+0300U+0300,Ο͂̀̀,Ο͂̀̀,U+039F U+0342 U+0300 U+0300
Ο,U+0342U+0300U+0345,Ο͂̀ͅ,Ο͂̀ͅ,U+039F U+0342 U+0300 U+0345
Ο,U+0342U+0345U+0345,Ο͂ͅͅ,Ο͂ͅͅ,U+039F U+0342 U+0345 U+0345
Ο,U+0300U+0300U+0300,Ὸ̀̀,Ὸ̀̀,U+1FF8 U+0300 U+0300
Ο,U+0300U+0300U+0345,Ὸ̀ͅ,Ὸ̀ͅ,U+1FF8 U+0300 U+0345
Ο,U+0300U+0345U+0345,Ὸͅͅ,Ὸͅͅ,U+1FF8 U+0345 U+0345
Ο,U+0345U+0345U+0345,Οͅͅͅ,Οͅͅͅ,U+039F U+0345 U+0345 U+0345
Υ,U+0313,Υ̓,Υ̓,U+03A5 U+0313
Υ,U+0314,Ὑ,Ὑ,U+1F59
Υ,U+0301,Ύ,Ύ,U+038E
Υ,U+0342,Υ͂,Υ͂,U+03A5 U+0342
Υ,U+0300,Ὺ,Ὺ,U+1FEA
Υ,U+0345,Υͅ,Υͅ,U+03A5 U+0345
Υ,U+0313U+0313,Υ̓̓,Υ̓̓,U+03A5 U+0313 U+0313
Υ,U+0313U+0314,Υ̓̔,Υ̓̔,U+03A5 U+0313 U+0314
Υ,U+0313U+0301,Υ̓́,Υ̓́,U+03A5 U+0313 U+0301
Υ,U+0313U+0342,Υ̓͂,Υ̓͂,U+03A5 U+0313 U+0342
Υ,U+0313U+0300,Υ̓̀,Υ̓̀,U+03A5 U+0313 U+0300
Υ,U+0313U+0345,Υ̓ͅ,Υ̓ͅ,U+03A5 U+0313 U+0345
Υ,U+0314U+0314,Ὑ̔,Ὑ̔,U+1F59 U+0314
Υ,U+0314U+0301,Ὕ,Ὕ,U+1F5D
Υ,U+0314U+0342,Ὗ,Ὗ,U+1F5F
Υ,U+0314U+0300,Ὓ,Ὓ,U+1F5B
Υ,U+0314U+0345,Ὑͅ,Ὑͅ,U+1F59 U+0345
Υ,U+0301U+0301,Ύ́,Ύ́,U+038E U+0301
Υ,U+0301U+0342,Ύ͂,Ύ͂,U+038E U+0342
Υ,U+0301U+0300,Ύ̀,Ύ̀,U+038E U+0300
Υ,U+0301U+0345,Ύͅ,Ύͅ,U+038E U+0345
Υ,U+0342U+0342,Υ͂͂,Υ͂͂,U+03A5 U+0342 U+0342
Υ,U+0342U+0300,Υ͂̀,Υ͂̀,U+03A5 U+0342 U+0300
Υ,U+0342U+0345,Υ͂ͅ,Υ͂ͅ,U+03A5 U+0342 U+0345
Υ,U+0300U+0300,Ὺ̀,Ὺ̀,U+1FEA U+0300
Υ,U+0300U+0345,Ὺͅ,Ὺͅ,U+1FEA U+0345
Υ,U+0345U+0345,Υͅͅ,Υͅͅ,U+03A5 U+0345 U+0345
Υ,U+0313U+0313U+0313,Υ̓̓̓,Υ̓̓̓,U+03A5 U+0313 U+0313 U+0313
Υ,U+0313U+0313U+0314,Υ̓̓̔,Υ̓̓̔,U+03A5 U+0313 U+0313 U+0314
Υ,U+0313U+0313U+0301,Υ̓̓́,Υ̓̓́,U+03A5 U+0313 U+0313 U+0301
Υ,U+0313U+0313U+0342,Υ̓̓͂,Υ̓̓͂,U+03A5 U+0313 U+0313 U+0342
Υ,U+0313U+0313U+0300,Υ̓̓̀,Υ̓̓̀,U+03A5 U+0313 U+0313 U+0300
Υ,U+0313U+0313U+0345,Υ̓̓ͅ,Υ̓̓ͅ,U+03A5 U+0313 U+0313 U+0345
Υ,U+0313U+0314U+0314,Υ̓̔̔,Υ̓̔̔,U+03A5 U+0313 U+0314 U+0314
Υ,U+0313U+0314U+0301,Υ̓̔́,Υ̓̔́,U+03A5 U+0313 U+0314 U+0301
Υ,U+0313U+0314U+0342,Υ̓̔͂,Υ̓̔͂,U+03A5 U+0313 U+0314 U+0342
Υ,U+0313U+0314U+0300,Υ̓̔̀,Υ̓̔̀,U+03A5 U+0313 U+0314 U+0300
Υ,U+0313U+0314U+0345,Υ̓̔ͅ,Υ̓̔ͅ,U+03A5 U+0313 U+0314 U+0345
Υ,U+0313U+0301U+0301,Υ̓́́,Υ̓́́,U+03A5 U+0313 U+0301 U+0301
Υ,U+0313U+0301U+0342,Υ̓́͂,Υ̓́͂,U+03A5 U+0313 U+0301 U+0342
Υ,U+0313U+0301U+0300,Υ̓́̀,Υ̓́̀,U+03A5 U+0313 U+0301 U+0300
Υ,U+0313U+0301U+0345,Υ̓́ͅ,Υ̓́ͅ,U+03A5 U+0313 U+0301 U+0345
Υ,U+0313U+0342U+0342,Υ̓͂͂,Υ̓͂͂,U+03A5 U+0313 U+0342 U+0342
Υ,U+0313U+0342U+0300,Υ̓͂̀,Υ̓͂̀,U+03A5 U+0313 U+0342 U+0300
Υ,U+0313U+0342U+0345,Υ̓͂ͅ,Υ̓͂ͅ,U+03A5 U+0313 U+0342 U+0345
Υ,U+0313U+0300U+0300,Υ̓̀̀,Υ̓̀̀,U+03A5 U+0313 U+0300 U+0300
Υ,U+0313U+0300U+0345,Υ̓̀ͅ,Υ̓̀ͅ,U+03A5 U+0313 U+0300 U+0345
Υ,U+0313U+0345U+0345,Υ̓ͅͅ,Υ̓ͅͅ,U+03A5 U+0313 U+0345 U+0345
Υ,U+0314U+0314U+0314,Ὑ̔̔,Ὑ̔̔,U+1F59 U+0314 U+0314
Υ,U+0314U+0314U+0301,Ὑ̔́,Ὑ̔́,U+1F59 U+0314 U+0301
Υ,U+0314U+0314U+0342,Ὑ̔͂,Ὑ̔͂,U+1F59 U+0314 U+0342
Υ,U+0314U+0314U+0300,Ὑ̔̀,Ὑ̔̀,U+1F59 U+0314 U+0300
Υ,U+0314U+0314U+0345,Ὑ̔ͅ,Ὑ̔ͅ,U+1F59 U+0314 U+0345
Υ,U+0314U+0301U+0301,Ὕ́,Ὕ́,U+1F5D U+0301
Υ,U+0314U+0301U+0342,Ὕ͂,Ὕ͂,U+1F5D U+0342
Υ,U+0314U+0301U+0300,Ὕ̀,Ὕ̀,U+1F5D U+0300
Υ,U+0314U+0301U+0345,Ὕͅ,Ὕͅ,U+1F5D U+0345
Υ,U+0314U+0342U+0342,Ὗ͂,Ὗ͂,U+1F5F U+0342
Υ,U+0314U+0342U+0300,Ὗ̀,Ὗ̀,U+1F5F U+0300
Υ,U+0314U+0342U+0345,Ὗͅ,Ὗͅ,U+1F5F U+0345
Υ,U+0314U+0300U+0300,Ὓ̀,Ὓ̀,U+1F5B U+0300
Υ,U+0314U+0300U+0345,Ὓͅ,Ὓͅ,U+1F5B U+0345
Υ,U+0314U+0345U+0345,Ὑͅͅ,Ὑͅͅ,U+1F59 U+0345 U+0345
Υ,U+0301U+0301U+0301,Ύ́́,Ύ́́,U+038E U+0301 U+0301
Υ,U+0301U+0301U+0342,Ύ́͂,Ύ́͂,U+038E U+0301 U+0342
Υ,U+0301U+0301U+0300,Ύ́̀,Ύ́̀,U+038E U+0301 U+0300
Υ,U+0301U+0301U+0345,Ύ́ͅ,Ύ́ͅ,U+038E U+0301 U+0345
Υ,U+0301U+0342U+0342,Ύ͂͂,Ύ͂͂,U+038E U+0342 U+0342
Υ,U+0301U+0342U+0300,Ύ͂̀,Ύ͂̀,U+038E U+0342 U+0300
Υ,U+0301U+0342U+0345,Ύ͂ͅ,Ύ͂ͅ,U+038E U+0342 U+0345
Υ,U+0301U+0300U+0300,Ύ̀̀,Ύ̀̀,U+038E U+0300 U+0300
Υ,U+0301U+0300U+0345,Ύ̀ͅ,Ύ̀ͅ,U+038E U+0300 U+0345
Υ,U+0301U+0345U+0345,Ύͅͅ,Ύͅͅ,U+038E U+0345 U+0345
Υ,U+0342U+0342U+0342,Υ͂͂͂,Υ͂͂͂,U+03A5 U+0342 U+0342 U+0342
Υ,U+0342U+0342U+0300,Υ͂͂̀,Υ͂͂̀,U+03A5 U+0342 U+0342 U+0300
Υ,U+0342U+0342U+0345,Υ͂͂ͅ,Υ͂͂ͅ,U+03A5 U+0342 U+0342 U+0345
Υ,U+0342U+0300U+0300,Υ͂̀̀,Υ͂̀̀,U+03A5 U+0342 U+0300 U+0300
Υ,U+0342U+0300U+0345,Υ͂̀ͅ,Υ͂̀ͅ,U+03A5 U+0342 U+0300 U+0345
Υ,U+0342U+0345U+0345,Υ͂ͅͅ,Υ͂ͅͅ,U+03A5 U+0342 U+0345 U+0345
Υ,U+0300U+0300U+0300,Ὺ̀̀,Ὺ̀̀,U+1FEA U+0300 U+0300
Υ,U+0300U+0300U+0345,Ὺ̀ͅ,Ὺ̀ͅ,U+1FEA U+0300 U+0345
Υ,U+0300U+0345U+0345,Ὺͅͅ,Ὺͅͅ,U+1FEA U+0345 U+0345
Υ,U+0345U+0345U+0345,Υͅͅͅ,Υͅͅͅ,U+03A5 U+0345 U+0345 U+0345
Ω,U+0313,Ὠ,Ὠ,U+1F68
Ω,U+0314,Ὡ,Ὡ,U+1F69
Ω,U+0301,Ώ,Ώ,U+038F
Ω,U+0342,Ω͂,Ω͂,U+03A9 U+0342
Ω,U+0300,Ὼ,Ὼ,U+1FFA
Ω,U+0345,ῼ,ῼ,U+1FFC
Ω,U+0313U+0313,Ὠ̓,Ὠ̓,U+1F68 U+0313
Ω,U+0313U+0314,Ὠ̔,Ὠ̔,U+1F68 U+0314
Ω,U+0313U+0301,Ὤ,Ὤ,U+1F6C
Ω,U+0313U+0342,Ὦ,Ὦ,U+1F6E
Ω,U+0313U+0300,Ὢ,Ὢ,U+1F6A
Ω,U+0313U+0345,ᾨ,ᾨ,U+1FA8
Ω,U+0314U+0314,Ὡ̔,Ὡ̔,U+1F69 U+0314
Ω,U+0314U+0301,Ὥ,Ὥ,U+1F6D
Ω,U+0314U+0342,Ὧ,Ὧ,U+1F6F
Ω,U+0314U+0300,Ὣ,Ὣ,U+1F6B
Ω,U+0314U+0345,ᾩ,ᾩ,U+1FA9
Ω,U+0301U+0301,Ώ́,Ώ́,U+038F U+0301
Ω,U+0301U+0342,Ώ͂,Ώ͂,U+038F U+0342
Ω,U+0301U+0300,Ώ̀,Ώ̀,U+038F U+0300
Ω,U+0301U+0345,Ώͅ,Ώͅ,U+038F U+0345
Ω,U+0342U+0342,Ω͂͂,Ω͂͂,U+03A9 U+0342 U+0342
Ω,U+0342U+0300,Ω͂̀,Ω͂̀,U+03A9 U+0342 U+0300
Ω,U+0342U+0345,ῼ͂,ῼ͂,U+1FFC U+0342
Ω,U+0300U+0300,Ὼ̀,Ὼ̀,U+1FFA U+0300
Ω,U+0300U+0345,Ὼͅ,Ὼͅ,U+1FFA U+0345
Ω,U+0345U+0345,ῼͅ,ῼͅ,U+1FFC U+0345
Ω,U+0313U+0313U+0313,Ὠ̓̓,Ὠ̓̓,U+1F68 U+0313 U+0313
Ω,U+0313U+0313U+0314,Ὠ̓̔,Ὠ̓̔,U+1F68 U+0313 U+0314
Ω,U+0313U+0313U+0301,Ὠ̓́,Ὠ̓́,U+1F68 U+0313 U+0301
Ω,U+0313U+0313U+0342,Ὠ̓͂,Ὠ̓͂,U+1F68 U+0313 U+0342
Ω,U+0313U+0313U+0300,Ὠ̓̀,Ὠ̓̀,U+1F68 U+0313 U+0300
Ω,U+0313U+0313U+0345,ᾨ̓,ᾨ̓,U+1FA8 U+0313
Ω,U+0313U+0314U+0314,Ὠ̔̔,Ὠ̔̔,U+1F68 U+0314 U+0314
Ω,U+0313U+0314U+0301,Ὠ̔́,Ὠ̔́,U+1F68 U+0314 U+0301
Ω,U+0313U+0314U+0342,Ὠ̔͂,Ὠ̔͂,U+1F68 U+0314 U+0342
Ω,U+0313U+0314U+0300,Ὠ̔̀,Ὠ̔̀,U+1F68 U+0314 U+0300
Ω,U+0313U+0314U+0345,ᾨ̔,ᾨ̔,U+1FA8 U+0314
Ω,U+0313U+0301U+0301,Ὤ́,Ὤ́,U+1F6C U+0301
Ω,U+0313U+0301U+0342,Ὤ͂,Ὤ͂,U+1F6C U+0342
Ω,U+0313U+0301U+0300,Ὤ̀,Ὤ̀,U+1F6C U+0300
Ω,U+0313U+0301U+0345,ᾬ,ᾬ,U+1FAC
Ω,U+0313U+0342U+0342,Ὦ͂,Ὦ͂,U+1F6E U+0342
Ω,U+0313U+0342U+0300,Ὦ̀,Ὦ̀,U+1F6E U+0300
Ω,U+0313U+0342U+0345,ᾮ,ᾮ,U+1FAE
Ω,U+0313U+0300U+0300,Ὢ̀,Ὢ̀,U+1F6A U+0300
Ω,U+0313U+0300U+0345,ᾪ,ᾪ,U+1FAA
Ω,U+0313U+0345U+0345,ᾨͅ,ᾨͅ,U+1FA8 U+0345
Ω,U+0314U+0314U+0314,Ὡ̔̔,Ὡ̔̔,U+1F69 U+0314 U+0314
Ω,U+0314U+0314U+0301,Ὡ̔́,Ὡ̔́,U+1F69 U+0314 U+0301
Ω,U+0314U+0314U+0342,Ὡ̔͂,Ὡ̔͂,U+1F69 U+0314 U+0342
Ω,U+0314U+0314U+0300,Ὡ̔̀,Ὡ̔̀,U+1F69 U+0314 U+0300
Ω,U+0314U+0314U+0345,ᾩ̔,ᾩ̔,U+1FA9 U+0314
Ω,U+0314U+0301U+0301,Ὥ́,Ὥ́,U+1F6D U+0301
Ω,U+0314U+0301U+0342,Ὥ͂,Ὥ͂,U+1F6D U+0342
Ω,U+0314U+0301U+0300,Ὥ̀,Ὥ̀,U+1F6D U+0300
Ω,U+0314U+0301U+0345,ᾭ,ᾭ,U+1FAD
Ω,U+0314U+0342U+0342,Ὧ͂,Ὧ͂,U+1F6F U+0342
Ω,U+0314U+0342U+0300,Ὧ̀,Ὧ̀,U+1F6F U+0300
Ω,U+0314U+0342U+0345,ᾯ,ᾯ,U+1FAF
Ω,U+0314U+0300U+0300,Ὣ̀,Ὣ̀,U+1F6B U+0300
Ω,U+0314U+0300U+0345,ᾫ,ᾫ,U+1FAB
Ω,U+0314U+0345U+0345,ᾩͅ,ᾩͅ,U+1FA9 U+0345
Ω,U+0301U+0301U+0301,Ώ́́,Ώ́́,U+038F U+0301 U+0301
Ω,U+0301U+0301U+0342,Ώ́͂,Ώ́͂,U+038F U+0301 U+0342
Ω,U+0301U+0301U+0300,Ώ́̀,Ώ́̀,U+038F U+0301 U+0300
Ω,U+0301U+0301U+0345,Ώ́ͅ,Ώ́ͅ,U+038F U+0301 U+0345
Ω,U+0301U+0342U+0342,Ώ͂͂,Ώ͂͂,U+038F U+0342 U+0342
Ω,U+0301U+0342U+0300,Ώ͂̀,Ώ͂̀,U+038F U+0342 U+0300
Ω,U+0301U+0342U+0345,Ώ͂ͅ,Ώ͂ͅ,U+038F U+0342 U+0345
Ω,U+0301U+0300U+0300,Ώ̀̀,Ώ̀̀,U+038F U+0300 U+0300
Ω,U+0301U+0300U+0345,Ώ̀ͅ,Ώ̀ͅ,U+038F U+0300 U+0345
Ω,U+0301U+0345U+0345,Ώͅͅ,Ώͅͅ,U+038F U+0345 U+0345
Ω,U+0342U+0342U+0342,Ω͂͂͂,Ω͂͂͂,U+03A9 U+0342 U+0342 U+0342
Ω,U+0342U+0342U+0300,Ω͂͂̀,Ω͂͂̀,U+03A9 U+0342 U+0342 U+0300
Ω,U+0342U+0342U+0345,ῼ͂͂,ῼ͂͂,U+1FFC U+0342 U+0342
Ω,U+0342U+0300U+0300,Ω͂̀̀,Ω͂̀̀,U+03A9 U+0342 U+0300 U+0300
Ω,U+0342U+0300U+0345,ῼ͂̀,ῼ͂̀,U+1FFC U+0342 U+0300
Ω,U+0342U+0345U+0345,ῼ͂ͅ,ῼ͂ͅ,U+1FFC U+0342 U+0345
Ω,U+0300U+0300U+0300,Ὼ̀̀,Ὼ̀̀,U+1FFA U+0300 U+0300
Ω,U+0300U+0300U+0345,Ὼ̀ͅ,Ὼ̀ͅ,U+1FFA U+0300 U+0345
Ω,U+0300U+0345U+0345,Ὼͅͅ,Ὼͅͅ,U+1FFA U+0345 U+0345
Ω,U+0345U+0345U+0345,ῼͅͅ,ῼͅͅ,U+1FFC U+0345 U+0345
ρ,,ρ,ρ,U+03C1
Ρ,,Ρ,Ρ,U+03A1
ρ,U+0314,ῥ,ῥ,U+1FE5
Ρ,U+0314,Ῥ,Ῥ,U+1FEC
ρ,U+0313,ῤ,ῤ,U+1FE4
Ρ,U+0313,Ρ̓,Ρ̓,U+03A1 U+0313
